Use By Technology (Energy Units)

,REG1
Technology,Fuel,Timeslice,2023
GRID,EL01,940,0
GRID,EL01,941,0
GRID,EL01,942,0
GRID,EL01,943,0
GRID,EL01,944,0
GRID,EL01,945,0
GRID,EL01,946,0
GRID,EL01,947,0
GRID,EL01,948,0
GRID,EL01,949,0
GRID,EL01,950,0
GRID,EL01,951,0
GRID,EL01,952,0
GRID,EL01,953,0
GRID,EL01,954,0
GRID,EL01,955,0
GRID,EL01,956,0
GRID,EL01,957,0
GRID,EL01,958,0
GRID,EL01,959,0
GRID,EL01,960,0
GRID,EL01,961,0
GRID,EL01,962,0
GRID,EL01,963,0
GRID,EL01,964,0
GRID,EL01,965,0
GRID,EL01,966,0
GRID,EL01,967,0
GRID,EL01,968,0
GRID,EL01,969,0
GRID,EL01,970,0
GRID,EL01,971,0
GRID,EL01,972,0
GRID,EL01,973,0
GRID,EL01,974,0
GRID,EL01,975,0
GRID,EL01,976,0
GRID,EL01,977,0
GRID,EL01,978,0
GRID,EL01,979,0
GRID,EL01,980,0
GRID,EL01,981,0
GRID,EL01,982,0
GRID,EL01,983,0
GRID,EL01,984,0
GRID,EL01,985,0
GRID,EL01,986,0
GRID,EL01,987,0
GRID,EL01,988,0
GRID,EL01,989,0
GRID,EL01,990,0
GRID,EL01,991,0
GRID,EL01,992,0
GRID,EL01,993,0
GRID,EL01,994,0
GRID,EL01,995,0
GRID,EL01,996,0
GRID,EL01,997,0
GRID,EL01,998,0
GRID,EL01,999,0
GRID,EL01,1000,0
GRID,EL01,1001,0
GRID,EL01,1002,0
GRID,EL01,1003,0
GRID,EL01,1004,0
GRID,EL01,1005,0
GRID,EL01,1006,0
GRID,EL01,1007,0
GRID,EL01,1008,0
